,Airport,FAA REGION,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,Arrival Percentage,Departure Percentage,No Diversion Percentage,Overall Chance of No Problems
175,TUS,AWP,178.0,155.0,55.0,39.0,22589.0,22340.0,0.7914,0.7715,0.7351,12.33,11.32,2.03,13.47,1.84,0.92,2.57,14.76,0.993061772605,0.992120058436,0.995815620201,0.99366581708
176,SAN,AWP,944.0,748.0,165.0,243.0,96361.0,95914.0,0.8296,0.795,0.7877,8.8,12.86,3.49,11.21,2.62,0.94,3.04,11.05,0.99220134704,0.990203505568,0.995756078533,0.99272031038
177,SAN,AWP,926.0,768.0,137.0,202.0,102281.0,101518.0,0.8202,0.776,0.7774,9.32,13.3,3.81,12.15,2.63,1.16,3.22,11.49,0.992434839142,0.990946510105,0.996673192705,0.993351513984
178,SAN,AWP,1219.0,1060.0,171.0,338.0,102803.0,102972.0,0.8189,0.777,0.7733,9.64,13.18,3.5,12.15,2.55,1.0,3.11,11.49,0.989705939479,0.988142369386,0.995052848986,0.990967052617
179,SAN,AWP,1142.0,1013.0,236.0,150.0,106794.0,107009.0,0.8176,0.7655,0.7727,10.11,13.79,4.03,13.0,2.73,1.09,2.96,12.26,0.990533506527,0.989306515347,0.996389199403,0.992076407093
180,SAN,AWP,1251.0,1048.0,201.0,359.0,103786.0,104107.0,0.8091,0.7654,0.7727,11.02,13.62,3.75,13.61,2.66,0.98,3.19,12.36,0.989933433871,0.987946351146,0.994612613219,0.990830799412
181,SAN,AWP,768.0,653.0,148.0,219.0,91757.0,92101.0,0.83,0.8021,0.8048,9.56,12.95,3.04,11.45,2.61,0.89,2.51,10.11,0.992909957547,0.991630066371,0.996007788619,0.993515937512
182,SAN,AWP,858.0,743.0,128.0,220.0,87436.0,87619.0,0.8166,0.7808,0.804,10.2,12.88,3.11,12.35,2.37,0.86,2.21,10.3,0.991520104087,0.990187108285,0.996024106709,0.99257710636
183,SAN,AWP,1031.0,884.0,120.0,172.0,85528.0,85655.0,0.8161,0.7803,0.7936,10.36,12.92,3.17,12.54,2.02,0.83,2.52,11.03,0.98967952834,0.987945468151,0.996588446283,0.991404480925
184,SAN,AWP,987.0,830.0,121.0,253.0,86058.0,86414.0,0.8273,0.7819,0.8065,10.32,13.37,3.63,12.91,1.96,1.06,2.13,10.76,0.990395074872,0.988530990727,0.99566306415,0.991529709916
