,city,company,salary,summary,title,parsed_salary
3013,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
3015,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3016,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3017,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3018,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3019,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3020,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3021,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3022,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...,71400.0
3024,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3025,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3026,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3027,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3028,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3029,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3030,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3031,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3032,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3033,Austin,University of Texas at Austin,"$5,400 - $6,500 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...,71400.0
3034,Austin,University of Texas at Austin,"$6,250 - $10,833 a month","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...,102498.0
3035,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
3036,Austin,University of Texas at Austin,"$3,210 a month",Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...,38520.0
